ID,Name,Concepticon_ID,Concepticon_Gloss,Tibetan_Gloss,Number
1-Above,Above,1741,ABOVE,माथि,
2-All,All,98,ALL,सबै,
3-Ant,Ant,587,ANT,कमिला,
4-ArmHand,Arm/Hand,2121,ARM OR HAND,हात,
5-Ash,Ash,646,ASH,खरानी,
6-Eggplant,Eggplant,1146,AUBERGINE,भन्टा,
7-Axe,Axe,677,AXE,वन्चरो,
8-Bad,Bad,1292,BAD,नराम्रो (खराव),
9-Banana,Banana,868,BANANA,केरा,
10-Barley,Barley,932,BARLEY,जौ,
11-Beammainwoodenbeam,Beam (main wooden beam),1132,BEAM,निदाल,
12-Bear,Bear,1820,BEAR,भालु,
13-Tobehungry,To be hungry,1533,BE HUNGRY,भोकाउनु,
14-Belly,Belly,1251,BELLY,पेट,
15-Big,Big,1202,BIG,ठुलो,
16-Tobite,To bite,1403,BITE,टोक्नु,
17-Black,Black,163,BLACK,कालो,
18-Blood,Blood,946,BLOOD,रगत,
19-Plank,Plank,1227,BOARD,फल्याक,
20-Body,Body,1480,BODY,शरीर,
21-Bone,Bone,1394,BONE,हाड,
22-Boy,Boy,1366,BOY,केटो,
23-Bread,Bread,1368,BREAD,दाह्री,
24-Bread,Bread,,,रोटी,
25-Breast,Breast,1402,BREAST,स्तन,
26-Broken,Broken,588,BROKEN,फुटेको,
27-Broom,Broom,245,BROOM,कुचो,
28-Buffalo,Buffalo,934,BUFFALO,भैँसी,
29-Toburn,To burn,2102,BURN,डढाउनु,
30-Cabbage,Cabbage,774,CABBAGE,बन्दा,
31-Cauliflower,Cauliflower,2843,CAULIFLOWER,काउली,
32-Tochew,To chew,321,CHEW,चपाउनु,
33-Chicken,Chicken,1318,CHICKEN,चल्ला,
34-Child,Child,2099,CHILD,बच्चा,
35-Cloth,Cloth,1616,CLOTH,लुगा (कपडा),
36-Cloud,Cloud,1489,CLOUD,बादल,
37-Cold,Cold,1287,COLD,चिसो,
38-Tocome,To come,1446,COME,आउनु,
39-Corpse,Corpse,767,CORPSE,लास,
40-Cow,Cow,1007,COW,गाइ,
41-Daughter,Daughter,1357,DAUGHTER,छोरी,
42-Day,Day,1225,DAY (NOT NIGHT),दिन,
43-Todie,To die,1494,DIE,मर्नु,
44-Different,Different,2504,DIFFERENT,फरक,
45-Dog,Dog,2009,DOG,कुकुर,
46-Door,Door,1567,DOOR,ढोका,
47-Below,Below,2094,DOWN OR BELOW,तल,
48-Todrink,To drink,1401,DRINK,पिउनु,
49-Dry,Dry,1398,DRY,सुख्खा,
50-Manure,Manure,2057,DUNG (ANIMAL FAECES),मल,
51-Dust,Dust,2,DUST,धुलो,
52-Ear,Ear,1247,EAR,कान,
53-Toeat,To eat,1336,EAT,खानु,
54-Egg,Egg,744,EGG,अन्डा,
55-Eight,Eight,1705,EIGHT,आठ,
56-Elbow,Elbow,981,ELBOW,कुइनो,
57-Eleven,Eleven,1706,ELEVEN,एघार,
58-Evening,Evening,1629,EVENING,साँझ,
59-Eye,Eye,1248,EYE,आँखा,
60-Face,Face,1560,FACE,अनुहार,
61-Faeces,Faeces,675,FAECES (EXCREMENT),दिसा,
62-Far,Far,1406,FAR,टाढा,
63-Father,Father,1217,FATHER,बुबा,
64-Fatofmeat,Fat (of meat),2449,FAT (OF MEAT AND FOOD),बोसो,
65-Few,Few,1242,FEW,थोरै,
66-Finger,Finger,1303,FINGER,औँला,
67-Fingernail,Fingernail,1258,FINGERNAIL,नङ,
68-Fire,Fire,221,FIRE,आगो,
69-Firewood,Firewood,10,FIREWOOD,दाउरा,
70-Fish,Fish,227,FISH,माछा,
71-Five,Five,493,FIVE,पाँच,
72-Floureatenasfood,Flour (eaten as food),1594,FLOUR,पिठो,
73-Flower,Flower,239,FLOWER,फूल,
74-Tofly,To fly,1441,FLY (MOVE THROUGH AIR),उड्नु,
75-Four,Four,1500,FOUR,चार,
76-Fruit,Fruit,1507,FRUIT,फलफुल,
77-Garlic,Garlic,2368,GARLIC,लसुन,
78-Ghost,Ghost,1175,GHOST,भुत,
79-Girl,Girl,1646,GIRL,केटी,
80-Togive,To give,1447,GIVE,दिनु,
81-Togo,To go,695,GO,जानु,
82-Goat,Goat,1502,GOAT,बाख्रो,
83-Gold,Gold,1369,GOLD,सुन,
84-Good,Good,1035,GOOD,राम्रो (असल),
85-Grains,Grains,605,GRAIN,अन्न,
86-Hailstone,Hailstone,609,HAIL,असिना,
87-Hair,Hair,1040,HAIR,कपाल,
88-Hammer,Hammer,1481,HAMMER,हथौडा,
89-Handle,Handle,1254,HANDLE,बिँड,
90-He,He,1211,HE,उ,
91-Head,Head,1256,HEAD,टाउको,
92-Heart,Heart,1223,HEART,मुटु,
93-Heavy,Heavy,1210,HEAVY,गह्रौँ,
94-Heel,Heel,980,HEEL,कुर्कुच्चो,
95-Hole,Hole,1667,HOLE,प्वाल,
96-Horns,Horns,1393,HORN (ANATOMY),सिङ,
97-Horse,Horse,615,HORSE,घोडा,
98-Hot,Hot,1286,HOT,तातो,
99-House,House,1252,HOUSE,घर,
100-Howmany,How many,822,HOW MANY,कति,
101-OneHundred,One Hundred,1634,HUNDRED,एक सय,
102-Husband,Husband,1200,HUSBAND,लोग्ने (श्रीमान),
103-I,I,1209,I,म,
104-Intestine,Intestine,1991,INTESTINES,आन्द्रा,
105-Bond,Bond,1743,JOIN,तमसुक,
106-Tokill,To kill,1417,KILL,मार्नु,
107-Knife,Knife,1352,KNIFE,चक्कु,
108-Leaf,Leaf,628,LEAF,पात,
109-Ropeusedtotieanimals,Rope used to tie animals,2959,LEASH,दाम्लो,
110-Left,Left,244,LEFT,देव्रे,
111-Leg,Leg,1297,LEG,खुट्टा,
112-Lidcover,Lid (cover),2319,"LID (COVER, CAP)",बिर्को,
113-Tolie,To lie,1411,LIE (REST),पल्टनु,
114-Lightening,Lightening,1654,LIGHTNING,बिजुली चम्कनु,
115-Light,Light,1052,LIGHT (WEIGHT),हलुका,
116-Tohearlisten,To hear/listen,1608,LISTEN,सुन्नु,
117-Load,Load,1679,LOAD,भारी,
118-Long,Long,1203,LONG,लामो,
119-Tolook,To look,1819,LOOK,हेर्नु,
120-Man,Man,1554,MAN,मान्छे,
121-Mango,Mango,2398,MANGO,आँप,
122-Many,Many,1198,MANY,धेरै,
123-Tomeasure,To measure,1506,MEASURE,नाप्नु,
124-Meat,Meat,634,MEAT,मासु,
125-Milk,Milk,635,MILK,दुध,
126-Monkey,Monkey,1350,MONKEY,बाँदर,
127-Month,Month,1370,MONTH,महिना,
128-Moon,Moon,1313,MOON,चन्द्रमा,
129-Morning,Morning,1339,MORNING,विहान,
130-Mortar,Mortar,224,MORTAR,सिलौटो,
131-Mosquito,Mosquito,1509,MOSQUITO,लामखुट्टे,
132-Mother,Mother,1216,MOTHER,आमा,
133-Mouth,Mouth,674,MOUTH,मुख,
134-Mud,Mud,640,MUD,माटो,
135-Name,Name,1405,NAME,नाम,
136-Near,Near,1942,NEAR,नजिक,
137-Needle,Needle,1382,NEEDLE (FOR SEWING),सियो,
138-New,New,1231,NEW,नयाँ,
139-Night,Night,1233,NIGHT,रात,
140-Nine,Nine,1483,NINE,नौ,
141-Noon,Noon,2490,NOON,मध्यान्ह,
142-Nose,Nose,1221,NOSE,नाक,
143-Chilli,Chilli,191,NUT,खुर्सानी,
144-Oil,Oil,1484,OIL (ORGANIC SUBSTANCE),तेल,
145-Old,Old,1229,OLD,पुरानो,
146-Olderbrother,Older brother,1759,OLDER BROTHER,दाजु,
147-Oldersister,Older sister,1758,OLDER SISTER,दिदी,
148-One,One,1493,ONE,एक,
149-Onion,Onion,2366,ONION,प्याज,
150-Oven,Oven,1143,OVEN,चुल्हो,
151-Palm,Palm,1181,PALM TREE,हत्केला,
152-Path,Path,2252,PATH,बाटो,
153-Groundnut,Groundnut,2364,PEANUT,बदाम,
154-Pestle,Pestle,225,PESTLE,लोहोरो,
155-Pig,Pig,1337,PIG,सुँगुर,
156-Toplough,To plough,1921,PLOUGH,जोत्नु,
157-Ploughnoun,Plough (noun),2154,PLOUGH (INSTRUMENT),हलो,
158-Potato,Potato,593,POTATO,आलु,
159-Rainbow,Rainbow,1733,RAINBOW,इन्द्रेणी,
160-Rain,Rain,1253,RAIN (RAINING),वर्षा,
161-Red,Red,156,RED,रातो,
162-Ricehusked,Rice (husked),926,RICE,चामल,
163-Right,Right,1019,RIGHT,दाहिने,
164-Ring,Ring,1374,RING,औँठी,
165-River,River,666,RIVER,नदी,
166-Roof,Roof,769,ROOF,छानो,
167-Root,Root,670,ROOT,जरा,
168-Rope,Rope,1218,ROPE,डोरी,
169-Torun,To run,1519,RUN,दौडिनु,
170-Salt,Salt,1274,SALT,नुन,
171-Same,Same,200,SAME,उही,
172-Sand,Sand,671,SAND,बालुवा,
173-Seven,Seven,1704,SEVEN,सात,
174-She,She,1834,SHE,उनी,
175-Short,Short,1645,SHORT,छोटो,
176-Tosit,To sit,1416,SIT,बस्नु,
177-Six,Six,1703,SIX,छ,
178-Skin,Skin,763,SKIN,छाला,
179-Sky,Sky,1732,SKY,आकास,
180-Tosleep,To sleep,1585,SLEEP,सुत्नु,
181-Small,Small,1246,SMALL,सानो,
182-Smoke,Smoke,1689,SMOKE (INHALE),धुवाँ,
183-Snake,Snake,730,SNAKE,सर्प (साँप),
184-Son,Son,1620,SON,छोरो,
185-Spade,Spade,1176,SPADE,कोदालो,
186-Tospeak,To speak,1623,SPEAK,बोल्नु,
187-Spider,Spider,843,SPIDER,माकुरो,
188-Star,Star,1430,STAR,तारा,
189-Stick,Stick,1295,STICK,लठ्ठी,
190-Stone,Stone,857,STONE,ढुङ्गा,
191-Sun,Sun,1343,SUN,घाम,
192-Toswallow,To swallow,897,SWALLOW,निल्नु,
193-Sweat,Sweat,125,SWEAT (SUBSTANCE),पसिना,
194-Tail,Tail,1220,TAIL,पुच्छर,
195-Ten,Ten,1515,TEN,दश,
196-That,That,78,THAT,त्यो,
197-Those,Those,,,ती,
198-They,They,817,THEY,उनीहरु,
199-Tobethirsty,To be thirsty,847,THIRSTY,तिर्खाउनु,
200-These,These,,,यी,
201-This,This,1214,THIS,यो,
202-Thorn,Thorn,124,THORN,काँडो,
203-Youinformal,You (informal),1215,THOU,तँ,
204-Thread,Thread,1161,THREAD,धागो,
205-Three,Three,492,THREE,तीन,
206-Tothrow,To throw,1456,THROW,फ्याँक्नु,
207-Today,Today,1283,TODAY,आज,
208-Tomato,Tomato,986,TOMATO,गोलभेँडा,
209-Tomorrow,Tomorrow,1329,TOMORROW,भोली,
210-Tongue,Tongue,1205,TONGUE,जिब्रो,
211-Teeth,Teeth,1380,TOOTH,दाँत,
212-Tree,Tree,906,TREE,रुख,
213-Turmeric,Turmeric,2842,TURMERIC,बेसार,
214-Twelve,Twelve,1707,TWELVE,बाह्र,
215-Twenty,Twenty,1710,TWENTY,वीस,
216-Two,Two,1498,TWO,दुई,
217-Touproot,To uproot,,,उखेल्नु,
218-Urine,Urine,1142,URINE,पिसाब,
219-Village,Village,930,VILLAGE,गाउँ,
220-Towalk,To walk,1443,WALK,हिँड्नु,
221-Water,Water,948,WATER,पानी,
222-Week,Week,1469,WEEK,हप्ता (साता),
223-Weexclusive,We (exclusive),1130,WE (EXCLUSIVE),हामी (असमावेशी),
224-Weinclusive,We (inclusive),1131,WE (INCLUSIVE),हामी (समावेशी),
225-Wet,Wet,1726,WET,चिसो,
226-What,What,1236,WHAT,के,
227-Wheathusked,Wheat (husked),1077,WHEAT,गहुँ,
228-When,When,1238,WHEN,कहिले,
229-Where,Where,1237,WHERE,कहाँ,
230-Which,Which,727,WHICH,कुन,
231-White,White,1335,WHITE,सेतो,
232-Who,Who,1235,WHO,को,
233-Whole,Whole,2277,WHOLE,सबै,
234-Wife,Wife,1199,WIFE,स्वास्नी (श्रीमती),
235-Wind,Wind,960,WIND,वतास,
236-Woman,Woman,962,WOMAN,आइमाई,
237-Yard,Yard,736,YARD,आँगन,
238-Year,Year,1226,YEAR,वर्ष,
239-Yesterday,Yesterday,1174,YESTERDAY,हिजो,
240-Youplural,You (plural),1213,YOU,तिमीहरु,
241-Youformal,You (formal),2844,YOU (FORMAL ADDRESS),तपाइँ,
242-Youngerbrother,Younger brother,1760,YOUNGER BROTHER,भाइ,
243-Youngersister,Younger sister,1761,YOUNGER SISTER,बहिनी,
