Cluster,Concepts
Kinship,Woman|Son|Daughter|Boy|Girl|He|She|Younger brother|Younger sister|Mother|Father|Older brother|Older sister|Child|Husband|Wife
Day,Day|Night|Morning|Noon|Evening|Yesterday|Today|Tomorrow|Week|Month|Year
SunMoon,Day|Sun|Moon|Month|Star|Cloud|Lightening|Rainbow
GoodBad,Good|Bad
Eat,To drink|To eat|To be hungry|To be thirsty
Tree,Tree|Firewood|Leaf|Root|Thorn|Flower
Sky,Sky|Rain|Cloud
Water,Water|River|Rain
Fire,Fire|Smoke|Ash|Mud|Dust
Fruit,Fruit|Mango|Banana
Chicken,Chicken|Egg
Milk,Breast|Milk|Cow|Buffalo
