Grapheme	IPA
$	NULL
^	NULL
^a	a
^a$	a
^b	b
^d	d
^dz	dz
^d̪	d̪
^h	h
^i	i
^j	j
^k	k
^kw	kʷ
^kʰ	kʰ
^l	l
^m	m
^mb	ⁿb
^n	n
^nd	ⁿd
^ndz	ⁿdz
^ndʑ	ⁿdʑ
^nd̪	ⁿd
^n̪	n̪
^n̪amkjaus̩	n̪ a m k j aus̩/au
^n̪d̪	ⁿd̪
^o	o
^o$	o
^p	p
^pʰ	pʰ
^r	r
^rw	r w
^s	s
^t	t
^ts	ts
^tsipru	ts i p + r u
^tsʰ	tsʰ
^tsʰebruk	tsʰ e b + r u k
^tɕ	tɕ
^tɕʰ	tɕʰ
^tɕʰw	tɕʰ w
^tʰ	tʰ
^t̪	t̪
^t̪ʰ	t̪ʰ
^t̪ʰw	t̪ʰ w
^u	u
^u$	u
^w	w
^z	z
^ã	ã
^ãã$	ãː
^ŋ	ŋ
^ŋg	ⁿg
^ɕ	ɕ
^ɕw	ɕ w
^ə	ə
^ɡ	g
^ɦ	ɦ
^ɲ	ɲ
^ɹ	ɹ
^ʂ	ʂ
^ʑ	ʑ
_	_
a	a
a$	a
au	au
b	b
b$	b
bz	b + z
d	d
dz	dz
dʑ	dʑ
d̪	d̪
e	e
e$	e
e:$	eː
ea	ea
eu	eu
g	g
gtsʰ	g + tsʰ
gtɕ	g + tɕ
gtɕʰ	g + tɕʰ
gz	g + z
h	h
h$	h
i	i
i$	i
iu	iu
j	j
j$	j
k	k
k$	k
km	k + m
ks	k + s
ks	k s
kts	k + ts
ktɕ	k + tɕ
kʰ	kʰ
kʰ$	kʰ
l	l
l$	l
ls	l s
lʑ	l ʑ
m	m
m$	m
mb	n/m + b
mm	m + m
ms	m + s
mʑ	m + ʑ
n	n
n$	n
nd	n/n + d
ndz	n/n + dz
ndʑ	n/n + dʑ
nd̪	n/n d
ns	n + s
nʑ	n + ʑ
n̪	n̪
n̪$	n̪
n̪d̪	n/n̪ d̪
o	o
o$	o
oa	oa
oo$	oː
oã	oã
oõ	oõ
oũ	oũ
p	p
p$	p
pb	pb/p
pts	p + ts
ptɕ	p + tɕ
pʰ	pʰ
r	r
r$	r
s	s
s̩$	s̩
t	t
t$	t
ts	ts
ts$	ts
tsʰ	tsʰ
tɕ	tɕ
tɕʰ	tɕʰ
tʰ	tʰ
t̪	t̪
t̪$	t̪
t̪ʰ	t̪ʰ
u	u
u$	u
ui	ui
uo	uo
w	w
w$	w
x	x
y	y
y$	y
z	z
z$	z
ã	ã
ã$	ã
õ	õ
õ$	õ
ø	ø
ø$	ø
ĩ	ĩ
ĩ$	ĩ
ŋ	ŋ
ŋ$	ŋ
ŋl	ŋ + l
ŋr	ŋ + r
ŋs	ŋ s
ŋw	ŋ + w
ŋɕ	ŋ + ɕ
ũ	ũ
ũ$	ũ
ɔ	ɔ
ɔ$	ɔ
ɔ:$	ɔː
ɔ̃	ɔ̃
ɕ	ɕ
ɖ	ɖ
ə	ə
əi	əi
əj$	əi
əu	əu
əũ	əũ
ɛ	ɛ
ɛ$	ɛ
ɛ̃	ɛ̃
ɛ̃$	ɛ̃
ɛ̃:$	ɛ̃ː
ɡ	g
ɡ$	g
ɡw	g w
ɦ	ɦ
ɰ	ɰ
ɲ	ɲ
ɹ	ɹ
ɹ$	ɹ
ɹs	ɹ s
ɹw	ɹ w
ɹɕ	ɹ ɕ
ɾ	ɾ
ɾ$	ɾ
ʈ	ʈ
ʏ	ʏ
ʑ	ʑ
ʔ$	ʔ
ʔs	ʔ + s
ʔs	ʔ s
ẽ	ẽ
ẽ$	ẽ
ⁿd	ⁿd
